epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.34926,1.7855,4.55225,1.1229,0,0,0,0,1.32149,4.29566,0.9631,3.75e-05,3.75e-05,3.75e-05
2,20.7408,1.50623,4.22086,0.99664,0,0,0,0,1.30467,4.16451,0.9166,8.57675e-05,8.57675e-05,8.57675e-05
3,31.1795,1.47677,3.82444,1.0158,0,0,0,0,1.18419,4.09124,0.88953,0.000132055,0.000132055,0.000132055
4,42.0874,1.15386,3.27842,0.93364,0,0,0,0,0.89652,3.99866,0.84421,0.000176362,0.000176362,0.000176362
5,54.0098,1.24245,2.84725,0.9232,0.00202,0.15,0.00121,0.0009,0.89699,3.91445,0.83638,0.00021869,0.00021869,0.00021869
6,65.2877,1.15511,2.29144,0.91815,0.00341,0.25,0.0022,0.00164,0.96154,3.86377,0.84678,0.000259038,0.000259038,0.000259038
7,77.2901,1.19865,2.17847,1.00538,0.01127,0.85,0.16575,0.12211,0.96691,3.63699,0.84903,0.000297405,0.000297405,0.000297405
8,89.6765,1.00694,1.81384,0.90792,0.01266,0.95,0.07869,0.06144,0.95834,3.56937,0.85193,0.000333792,0.000333792,0.000333792
9,101.991,1.05869,1.68492,0.92017,0.01334,1,0.02484,0.01807,0.93727,3.53374,0.85439,0.0003682,0.0003682,0.0003682
10,115.84,1.02291,1.57452,0.91044,0.01265,0.95,0.02856,0.02183,0.93474,3.47131,0.86427,0.000400628,0.000400628,0.000400628
11,129.619,1.40366,2.66088,1.01832,0.01338,1,0.03552,0.02811,0.88073,3.36355,0.85625,0.000431075,0.000431075,0.000431075
12,140.319,0.98013,1.34409,0.88201,0.01338,1,0.05317,0.04204,0.84784,3.24561,0.84776,0.000459543,0.000459543,0.000459543
13,152.032,1.01879,1.27901,0.88779,0.0134,1,0.31217,0.24484,0.85714,3.08468,0.84678,0.00048603,0.00048603,0.00048603
14,165.171,1.00348,1.18164,0.9069,0.01343,1,0.41123,0.31335,0.8765,2.87974,0.8519,0.000510537,0.000510537,0.000510537
15,177.991,1.00821,1.2664,0.89684,0.01973,1,0.50672,0.40876,0.84613,2.70008,0.85157,0.000533065,0.000533065,0.000533065
16,190.359,0.88188,1.07386,0.89899,0.01973,1,0.50672,0.40876,0.84613,2.70008,0.85157,0.000553613,0.000553613,0.000553613
17,203.729,0.93854,1.11298,0.94196,0.75,0.19282,0.75552,0.59135,0.85193,2.49781,0.86359,0.00057218,0.00057218,0.00057218
18,214.814,1.05934,1.08825,0.91557,0.95343,0.2,0.92417,0.70192,0.91905,2.43264,0.87639,0.000588767,0.000588767,0.000588767
19,224.654,0.96021,0.99984,0.88964,0.95343,0.2,0.92417,0.70192,0.91905,2.43264,0.87639,0.000603375,0.000603375,0.000603375
20,236.693,0.96088,1.06027,0.89787,0.98201,0.3316,0.93761,0.72933,0.9215,2.35337,0.87703,0.000616003,0.000616003,0.000616003
21,248.527,0.94362,1.0645,0.90805,0.88604,0.60683,0.9575,0.74174,0.90965,2.12366,0.88861,0.00062665,0.00062665,0.00062665
22,258.95,0.89865,0.9225,0.90892,0.88604,0.60683,0.9575,0.74174,0.90965,2.12366,0.88861,0.000635318,0.000635318,0.000635318
23,268.889,0.86806,0.90404,0.90242,0.96941,0.94379,0.995,0.75745,0.93321,1.90538,0.89396,0.000642005,0.000642005,0.000642005
24,278.719,0.86317,0.96894,0.94285,0.96941,0.94379,0.995,0.75745,0.93321,1.90538,0.89396,0.000646713,0.000646713,0.000646713
25,288.755,0.9456,0.93014,0.92831,0.95735,0.99087,0.995,0.79596,0.87023,1.80468,0.87651,0.00064944,0.00064944,0.00064944
26,299.363,0.86449,0.9353,0.93286,0.95735,0.99087,0.995,0.79596,0.87023,1.80468,0.87651,0.00063125,0.00063125,0.00063125
27,308.995,0.87899,0.89502,0.88943,0.94109,0.99371,0.995,0.80462,0.80002,1.66221,0.85127,0.0006065,0.0006065,0.0006065
28,320.196,0.91549,0.94667,0.90205,0.94109,0.99371,0.995,0.80462,0.80002,1.66221,0.85127,0.00058175,0.00058175,0.00058175
29,331.318,0.82451,0.86451,0.86143,0.96256,0.98643,0.995,0.82151,0.81372,1.34894,0.85264,0.000557,0.000557,0.000557
30,341.2,0.90086,0.86516,0.91407,0.96256,0.98643,0.995,0.82151,0.81372,1.34894,0.85264,0.00053225,0.00053225,0.00053225
31,351.566,0.87158,0.8238,0.87906,0.96456,0.99274,0.995,0.82618,0.78166,1.02109,0.8468,0.0005075,0.0005075,0.0005075
32,362.207,0.89218,0.81775,0.91362,0.96456,0.99274,0.995,0.82618,0.78166,1.02109,0.8468,0.00048275,0.00048275,0.00048275
33,372.271,0.82815,0.90105,0.92493,0.95238,0.99242,0.995,0.83181,0.76551,0.8995,0.84181,0.000458,0.000458,0.000458
34,382.001,0.86544,0.82291,0.84257,0.95238,0.99242,0.995,0.83181,0.76551,0.8995,0.84181,0.00043325,0.00043325,0.00043325
35,391.916,0.96477,0.84717,0.92353,0.95202,0.99479,0.995,0.81598,0.78167,0.88578,0.84284,0.0004085,0.0004085,0.0004085
36,401.623,0.83418,0.75517,0.86552,0.95202,0.99479,0.995,0.81598,0.78167,0.88578,0.84284,0.00038375,0.00038375,0.00038375
37,411.315,0.82061,0.78557,0.84604,0.97507,0.99767,0.995,0.8122,0.77562,0.87997,0.8429,0.000359,0.000359,0.000359
38,420.822,0.85937,0.78049,0.88693,0.97507,0.99767,0.995,0.8122,0.77562,0.87997,0.8429,0.00033425,0.00033425,0.00033425
39,430.416,0.80241,0.73782,0.885,0.9726,0.99324,0.995,0.81329,0.7763,0.87404,0.84373,0.0003095,0.0003095,0.0003095
40,439.937,0.80817,0.80873,0.89622,0.9726,0.99324,0.995,0.81329,0.7763,0.87404,0.84373,0.00028475,0.00028475,0.00028475
41,449.459,0.81313,0.80603,0.88944,0.97044,1,0.995,0.80111,0.78905,0.90606,0.84616,0.00026,0.00026,0.00026
42,459.325,0.76064,0.79415,0.87751,0.97044,1,0.995,0.80111,0.78905,0.90606,0.84616,0.00023525,0.00023525,0.00023525
43,468.771,0.74676,0.79241,0.85777,0.92926,1,0.995,0.8145,0.78647,0.93011,0.84641,0.0002105,0.0002105,0.0002105
